,Name,Year,Starring,Rating,Critc Consensus
10,Primo: Season 1,(2023),"Starring: Ignacio Diaz-Silverio, Christina Vidal, Carlos Santos, Henri Esteve",100,"Critics Consensus: Bearing the unmistakable stamp of creator Shea Serrano's authentic voice, Primo is a generation-spanning sitcom that feels like home."
11,Deadloch: Season 1,(2023),"Starring: Kate Box, Madeleine Sami, Nina Oyama, Tom Ballard",100,"Critics Consensus: An irreverent twist on the crime procedural, Deadloch's addictive mixture of mystery and mordant humor makes most of its corpse-strewn competition look comparably stiff."
12,For All Mankind: Season 4,(2023),"Starring: Joel Kinnaman, Wrenn Schmidt, Coral Peña, Krys Marshall",100,"Critics Consensus: Houston, there's no problem here -- For All Mankind's fourth season hones in on what the series does best and forges ahead with a thought-provoking revisionist history."
13,Blue Eye Samurai: Season 1,(2023),"Starring: Maya Erskine, George Takei, Masi Oka, Randall Park",100,"Critics Consensus: Visually dazzling while paying deft attention to character, Blue Eye Samurai is a masterfully rendered animated adventure."
14,Scavengers Reign: Season 1,(2023),"Starring: Sunita Mani, Wunmi Mosaku",100,"Critics Consensus: Disturbing and wondrous, Scavengers Reign presents a vividly realized world that beckons exploration by its marooned characters and television viewers alike."
15,Somebody Somewhere: Season 2,(2023),"Starring: Bridget Everett, Jeff Hiller, Mary Catherine Garrison, Danny McCarthy",100,"Critics Consensus: Somebody Somewhere captures the bittersweet beauty of life in all its minutiae, never forgetting to laugh in the face of adversity."
16,Gremlins: Secrets of the Mogwai: Season 1,(2023),"Starring: Matthew Rhys, James Hong, Ming-Na Wen, BD Wong",100,"Critics Consensus: Recapturing the original movies' blend of cuteness and mayhem, Secrets of the Mogwai is delightful family entertainment -- just don't feed it after midnight."
17,Killing It: Season 2,(2023),"Starring: Craig Robinson, Claudia O'Doherty, Rell Battle, Scott MacArthur",100,"Critics Consensus: Scathing as ever and even funnier than before, Killing It's sophomore season compresses capitalistic malaise into a comedic diamond."
18,The Bear: Season 2,(2023),"Starring: Jeremy Allen White, Ebon Moss-Bachrach, Ayo Edebiri, Abby Elliott",99,"Critics Consensus: Instead of reinventing the menu, The Bear's second season wisely opts to toss its lovable characters into another frying pan of adversity, lets 'em cook, and serves up yet another supremely satisfying dish."
19,Star Trek: Strange New Worlds: Season 1,(2022),"Starring: Anson Mount, Rebecca Romijn, Ethan Peck, Babs Olusanmokun",99,"Critics Consensus: Strange New Worlds treks across familiar territory to refreshing effect, its episodic structure and soulful cast recapturing the sense of boundless discovery that defined the franchise's roots."
20,Beef: Season 1,(2023),"Starring: Steven Yeun, Ali Wong, Joseph Lee, Young Mazino",98,"Critics Consensus: Ali Wong and Steven Yeun are a diabolically watchable pair of adversaries in Beef, a prime cut comedy that finds the pathos in pettiness."
21,Poker Face: Season 1,(2023),"Starring: Natasha Lyonne, Chloë Sevigny, Lil Rel Howery, Joseph Gordon-Levitt",98,"Critics Consensus: With the incomparable Natasha Lyonne as an ace up its sleeve, Poker Face is a puzzle box of modest ambitions working with a full deck."
22,Star Trek: Picard: Season 3,(2023),"Starring: Patrick Stewart, LeVar Burton, Michael Dorn, Jonathan Frakes",98,"Critics Consensus: Finally getting the band back together, Picard's final season boldly goes where the previous generation had gone before -- and is all the better for it."
23,Gen V: Season 1,(2023),"Starring: Jaz Sinclair, Lizze Broadway, Asa Germann, Chance Perdomo",97,"Critics Consensus: Just about as gruesomely subversive as its origin series, Gen V builds on The Boys in occasionally chaotic but overall inspired fashion."
24,Succession: Season 4,(2023),"Starring: Nicholas Braun, Brian Cox, Kieran Culkin, Dagmara Domińczyk",97,"Critics Consensus: As compulsively watchable as ever, Succession's final season concludes the saga of the backbiting Roy family on a typically brilliant -- and colorfully profane -- high note."
25,Star Trek: Strange New Worlds: Season 2,(2023),"Starring: Anson Mount, Rebecca Romijn, Ethan Peck, Jess Bush",97,"Critics Consensus: Boldly going where this hallowed franchise has gone before with effervescent execution, Strange New Worlds' superb sophomore season continues to recapture classic Trek with modern verve."
26,Schmigadoon!: Season 2,(2023),"Starring: Cecily Strong, Keegan-Michael Key, Dove Cameron, Jaime Camil",97,"Critics Consensus: Schmigadoon! returns with more libido, pizzazz, and all that jazz in a sophomore season that improves upon what was already a nifty production."
27,The Last of Us: Season 1,(2023),"Starring: Pedro Pascal, Bella Ramsey, Lamar Johnson, Nico Parker",96,"Critics Consensus: Retaining the most addictive aspects of its beloved source material while digging deeper into the story, The Last of Us is bingeworthy TV that ranks among the all-time greatest video game adaptations."
28,Only Murders in the Building: Season 3,(2023),"Starring: Steve Martin, Martin Short, Selena Gomez, Michael Cyril Creighton",96,"Critics Consensus: Relocating the action to the theatre, Only Murders in the Building can take a bow for yet another twisty mystery handled with a good-humored touch."
29,I'm a Virgo: Season 1,(2023),"Starring: Jharrel Jerome, Brett Gray, Kara Young, Allius Barnes",96,"Critics Consensus: Boots Riley's towering imagination looms as large as his supersized hero in I'm a Virgo, an uproarious satire that's given an enormous heart to match by star Jharrel Jerome."
30,Barry: Season 4,(2023),"Starring: Bill Hader, Stephen Root, Henry Winkler, Sarah Goldberg",96,"Critics Consensus: What began as a macabre comedy is now close to completely shorn of genuine mirth, but Bill Hader's masterful indictment of stardom closes the curtain with one hell of an encore."
31,Percy Jackson and the Olympians: Season 1,(2023),"Starring: Walker Scobell, Leah Jeffries, Aryan Simhadri, Jason Mantzoukas",92,"Critics Consensus: A faithful adaptation of Rick Riordan's novels, Percy Jackson and the Olympians is a lovingly realized odyssey through adolescence and myth."
32,Heartstopper: Season 2,(2023),"Starring: Kit Connor, Joe Locke, William Gao, Yasmin Finney",96,"Critics Consensus: Beautifully acted and scripted, Heartstopper's second season is fit to bursting with emotional truth."
33,Scott Pilgrim Takes Off: Season 1,(2023),"Starring: Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans",96,"Critics Consensus: Retaining the heart and wit of the original movie while also carving out a fresh path for itself, Scott Pilgrim takes off in the animated medium and soars."
34,Fargo: Season 5,(2023),"Starring: Juno Temple, Jon Hamm, Jennifer Jason Leigh, David Rysdahl",92,"Critics Consensus: A back-to-basics caper populated by the likes of a mesmerizing Juno Temple and a thick slice of Hamm, Fargo's fifth season is a superb return to peak form."
35,The Marvelous Mrs. Maisel: Season 5,(2023),"Starring: Rachel Brosnahan, Michael Zegen, Alex Borstein, Tony Shalhoub",96,"Critics Consensus: All good comedy sets must arrive at a final punchline, and The Marvelous Mrs. Maisel reliably nails its own with a fifth season that wisely puts Rachel Brosnahan and Alex Borstein's repartee front and center."
36,Our Flag Means Death: Season 2,(2023),"Starring: Rhys Darby, Taika Waititi, Nathan Foad, Samson Kayo",96,"Critics Consensus: Our Flag Means Death's sophomore season doubles down on the fans' favorite ship to some diminishing returns, but it still delivers enough joyous moments to get viewers' sabers rattling."
37,Telemarketers: Season 1,(2023),"Starring: Sam Lipman-Stern, Richard Blumenthal, Pat Pespas, Sarah Kleiner",96,Critics Consensus: Hold the phone! A truly stranger than fiction scandal is recounted with addictive aplomb in this gritty and farcical docuseries.
38,I Think You Should Leave With Tim Robinson: Season 3,(2023),"Starring: Tim Robinson, Ruthie Austin, Crystal Bush, Sean Christopher Davis",96,"Critics Consensus: Now that I Think You Should Leave's rhythms have become a recognizable pattern, some of these sketches CAN'T hit, but most of them still CAN hit -- and indeed they do, with quotable hilarity."
39,Harley Quinn: Season 4,(2023),"Starring: Kaley Cuoco, Lake Bell, Alan Tudyk, Jim Rash",96,"Critics Consensus: Having settled into one of DC's most dependably entertaining series, Harley Quinn continues to be funny, quirky, and romantic."
40,Queen Charlotte: A Bridgerton Story: Season 1,(2023),"Starring: India Amarteifio, Adjoa Andoh, Michelle Fairley, Ruth Gemmell",95,"Critics Consensus: A resplendent romance between two of the most interesting characters in the Bridgerton saga, Queen Charlotte is a spin-off that arguably perfects the primary series' formula."
41,Slow Horses: Season 1,(2022),"Starring: Gary Oldman, Jack Lowden, Kristin Scott Thomas",95,"Critics Consensus: Slow Horses refreshes the espionage genre by letting its band of snoops be bumbling, with Gary Oldman giving a masterclass in frumpy authority."
42,Party Down: Season 3,(2023),"Starring: Adam Scott, Jane Lynch, Ken Marino, Martin Starr",95,"Critics Consensus: Returning after a long layoff, Party Down brings patient fans a third season that's every bit as sharp -- and laugh-out-loud funny -- as its predecessors."
43,The Afterparty: Season 2,(2023),"Starring: Tiffany Haddish, Sam Richardson, Zoe Chao, Elizabeth Perkins",95,"Critics Consensus: The Afterparty welcomes in a mostly new cast and keeps things festive with its enduringly clever Rashomon-style format, stirring up an entertainment that viewers won't want to end."
44,What We Do in the Shadows: Season 5,(2023),"Starring: Matt Berry, Kayvan Novak, Natasia Demetriou, Harvey Guillén",95,"Critics Consensus: Displaying a comedic longevity that'd make even a vampire blush, What We Do in the Shadows enters its fifth season showing no signs of getting long in the fang."
45,Best Interests: Season 1,(2023),"Starring: Sharon Horgan, Michael Sheen, Noma Dumezweni, Alison Oliver",95,"Critics Consensus: Sharon Horgan and Michael Sheen turn in some of their best work yet in Best Intentions, a frank depiction of any parent's worst nightmare that is equal parts graceful and harrowing."
46,Starstruck: Season 3,(2023),"Starring: Rose Matafeo, Nikesh Patel, Emma Sidi, Lorne MacFadyen",95,"Critics Consensus: Shining bright and casting a warm glow over viewers, Starstruck continues to be masterful comfort television in this sweet third season."
47,The Traitors: Season 1,(2023),"Starring: Alan Cumming, Brandi Glanville, Reza Farahan, Ryan Lochte",95,"Critics Consensus: Hosted by Alan Cumming with theatrical relish, The Traitors deploys a rogues' gallery of reality television stars to make for a compelling murder mystery party."
48,Transatlantic: Season 1,(2023),"Starring: Cory Michael Smith, Gillian Jacobs, Lucas Englander, Deleila Piasko",95,"Critics Consensus: Ably dramatizing a deadly serious chapter of World War II history while also remembering to have fun, Transatlantic is a visually sumptuous throwback to classic Hollywood melodramas."
49,Stonehouse: Season 1,(2023),"Starring: Matthew Macfadyen, Emer Heatley, Kevin R. McNally, Keeley Hawes",95,Critics Consensus: Stonehouse reenacts one of Britain's most ridiculous spy games with wry flair while star Matthew Macfadyen puts on a masterclass of fecklessness.
50,Yellowjackets: Season 2,(2023),"Starring: Melanie Lynskey, Juliette Lewis, Christina Ricci, Tawny Cypress",93,"Critics Consensus: Having already made a startling first impression, Yellowjackets coils itself in a second season preparing for the long haul -- thankfully, its superb performances and mesmeric ambience are fine substitutes for fast answers."
51,The Curse: Season 1,(2023),"Starring: Emma Stone, Nathan Fielder, Benny Safdie, Doug Montoya",94,"Critics Consensus: A wickedly uncomfortable marriage of sensibilities between Nathan Fielder and Benny Safdie, with a masterful Emma Stone tying everything together, The Curse will make viewers cackle and squirm in equal measure."
52,American Born Chinese: Season 1,(2023),"Starring: Michelle Yeoh, Ben Wang, Yann Yann Yeo, Chin Han",94,"Critics Consensus: Jam-packed with inventive flourishes and grounded by lovable actors, American Born Chinese musters epic elements from Chinese mythology to tell a deeply relatable coming of age story."
53,Platonic: Season 1,(2023),"Starring: Rose Byrne, Seth Rogen, Luke Macfarlane, Tre Hale",93,"Critics Consensus: Even with bold swings and romance off the table, the rambunctious rapport between Rose Byrne and Seth Rogen makes Platonic an ideal relationship comedy."
54,Lucky Hank: Season 1,(2023),"Starring: Bob Odenkirk, Mireille Enos, Olivia Scott Welch, Diedrich Bader",93,"Critics Consensus: With the fortune of Bob Odenkirk in its favor, Lucky Hank makes ennui essential viewing with a comedy rooted in relatable human behavior."
55,Rain Dogs: Season 1,(2023),"Starring: Daisy May Cooper, Jack Farthing, Ronke Adekoluejo, Fleur Tashjian",93,"Critics Consensus: Authentically brutal with pinpricks of humor that's all the more true to life, Rain Dogs is a bracing story of toil that proves to be immensely rewarding."
56,The Gilded Age: Season 2,(2023),"Starring: Cynthia Nixon, Morgan Spector, Denée Benton, Louisa Jacobson",93,"Critics Consensus: More topical than before while also owning its frivolous appeal with unapologetic splendor, Julian Fellowes' operatic soap enters its own halcyon age."
57,You: Season 4,(2023),"Starring: Penn Badgley, Tati Gabrielle, Charlotte Ritchie, Lukas Gage",92,"Critics Consensus: The hunter becomes prey in You's London-set fourth season, which shows some wear as this premise begins to outlive its believability -- but Penn Badgley's sardonic performance continues to paper over most lapses in logic."
58,Mrs. Davis: Season 1,(2023),"Starring: Betty Gilpin, Ely Henry, Raphael Corkhill, Sam Meader",92,"Critics Consensus: Positively bonkers while undergirded by an intelligent design, Mrs. Davis makes Betty Gilpin a hero for modern times in a highly imaginative mixture of spirituality and technology."
59,The Big Door Prize: Season 1,(2023),"Starring: Chris O'Dowd, Gabrielle Dennis, Josh Segarra, Ally Maki",92,"Critics Consensus: Turning a high concept into a grounded good time, The Big Door Prize realizes its full potential thanks to a lovable cast of relatable characters."
60,The Gold: Season 1,(2023),"Starring: Hugh Bonneville, Dominic Cooper, Tom Cullen, Charlotte Spencer",92,"Critics Consensus: A glittering cast is worth its weight in Gold, giving this posh caper plenty of compelling glamor to go along with its trenchant class commentary."
61,Shrinking: Season 1,(2023),"Starring: Jason Segel, Jessica Williams, Harrison Ford, Luke Tennie",91,"Critics Consensus: Shrinking has darker ideas on its mind than its earnest approach can often translate, but Jason Segel and Harrison Ford's sparkling turns make these characters worth close analysis."
62,Justified: City Primeval: Season 1,(2023),"Starring: Timothy Olyphant, Aunjanue Ellis-Taylor, Boyd Holbrook, Adelaide Clemens",91,"Critics Consensus: Timothy Olyphant's quickdraw charm shows no signs of dulling in City Primeval, an introspective and very welcome return for Raylan Givens."
63,Sex Education: Season 4,(2023),"Starring: Emma Mackey, Connor Swindells, Aimee Lou Wood, Kedar Williams-Stirling",91,"Critics Consensus: As sweetly empathetic and inclusive as ever, Sex Education's final season serves as a bittersweet -- but largely satisfying -- farewell."
64,Beckham: Limited Series,(2023),"Starring: David Beckham, Victoria Beckham",88,"Critics Consensus: Blessed with an affable and charismatic subject, Beckham's intimate access to one of the world's most renowned athletes makes for a delightful binge."
65,Welcome to Wrexham: Season 2,(2023),"Starring: Ryan Reynolds, Rob McElhenney",91,"Critics Consensus: While its marquee stars are plenty welcoming all their own, Wrexham smartly spends its sophomore season focused on the community itself to inspiring effect."
66,The Fall of the House of Usher: Limited Series,(2023),"Starring: Bruce Greenwood, Carla Gugino, Mary McDonnell, Carl Lumbly",90,"Critics Consensus: Presenting vintage Poe stories filtered through Mike Flanagan's deliciously dark lens, The Fall of the House of Usher will get a rise out of horror fans."
67,Fellow Travelers: Limited Series,(2023),"Starring: Matt Bomer, Jonathan Bailey, Noah J. Ricketts, Will Brill",91,"Critics Consensus: A queer romance with the full breadth and depth of an epic, Fellow Travelers is a moving showcase for Matt Bomer and Jonathan Bailey's captivating on-screen chemistry."
68,The Clearing: Season 1,(2023),"Starring: Teresa Palmer, Miranda Otto, Guy Pearce, Hazem Shammas",90,"Critics Consensus: Deriving extra flavor from its Australian setting and Miranda Otto's unsettling performance, The Clearing is an eerie thriller with plenty to recommend."
69,Everyone Else Burns: Season 1,(2023),"Starring: Simon Bird, Kate O'Flynn, Amy James-Kelly, Lolly Adefope",90,"Critics Consensus: A mirthful satire of religious zealotry that hits more than it misses, Everyone Else Burns is an agreeably irreverent sitcom."
70,Minx: Season 2,(2023),"Starring: Ophelia Lovibond, Jake Johnson, Idara Victor, Oscar Montoya",89,"Critics Consensus: Still getting great mileage from its marriage of the feminist and the frivolous, Minx's second season is smart, sexy, and fun."
71,Hijack: Season 1,(2023),"Starring: Idris Elba, Neil Maskell, Eve Myles, Christine Adams",88,"Critics Consensus: Largely devoid of storytelling turbulence and benefitting greatly from its real-time pacing, Hijack is a glossy but effective thriller that achieves genuine liftoff."
72,Silo: Season 1,(2023),"Starring: David Oyelowo, Rashida Jones, Rebecca Ferguson, Common",88,"Critics Consensus: With deft writing, awe-inspiring production design and the inestimable star power of Rebecca Ferguson, Silo is a mystery box well worth opening."
73,A Murder at the End of the World: Limited Series,(2023),"Starring: Emma Corrin, Clive Owen, Harris Dickinson, Brit Marling",88,"Critics Consensus: Confounding as it is seductive, Murder at the End of the World is a worthy brain-teaser for fans of Brit Marling and Zal Batmanglij's offbeat storytelling."
74,Pretty Baby: Brooke Shields: Season 1,(2023),Starring: Brooke Shields,88,"Critics Consensus: As much an exposé on ugly cultural forces as it is a straightforward presentation of Brooke Shields' life, Pretty Baby is disturbing and triumphant in equal measure."
75,Harlan Coben's Shelter: Season 1,(2023),"Starring: Jaden Michael, Constance Zimmer, Adrian Greensmith, Sage Linder",88,"Critics Consensus: Carrying off a mature mystery with a light touch, Shelter is an absorbing and spry adaptation of Harlan Coben's work."
76,A Spy Among Friends: Limited Series,(2022),"Starring: Damian Lewis, Guy Pearce, Karel Roden, Monika Gossmann",88,"Critics Consensus: More cerebral than outright thrilling, A Spy Among Friends is an intelligent tale of espionage elevated by a pair of sterling performances."
77,Swarm: Season 1,(2023),"Starring: Dominique Fishback, Chloe Bailey, Heather Simms, Karen Rodriguez",87,"Critics Consensus: Swarm can be as unpleasant as a hornet sting, but Dominique Fishback's ferocious performance and the creators' bold creative swings add up to a truly subversive take on toxic fandom."
78,Good Omens: Season 2,(2023),"Starring: Michael Sheen, David Tennant, Jon Hamm, Sam Taylor Buck",87,"Critics Consensus: Boding well for the series' longevity, Good Omens' second season is even more splendid than the first."
79,Star Wars: Ahsoka: Season 1,(2023),"Starring: Rosario Dawson, Natasha Liu Bordizzo, Mary Elizabeth Winstead, Ray Stevenson",86,"Critics Consensus: Elevated by Rosario Dawson's strong performance in the title role and a solid story that balances new and old elements of the Star Wars saga, Ahsoka is a must-watch for fans of the franchise."
80,Futurama: Season 11,(2023),"Starring: Billy West, Katey Sagal, John DiMaggio, Tress MacNeille",86,Critics Consensus: Shut up and take our money!
81,The Muppets Mayhem: Season 1,(2023),"Starring: Lilly Singh, Tahj Mowry, Saara Chaudry, Anders Holm",86,"Critics Consensus: The Muppets Mayhem might be too slight to find the Rainbow Connection, but its ragtag band of plucky puppets and plethora of showbiz gags make for a solid addition to the franchise."
82,The Wheel of Time: Season 2,(2023),"Starring: Rosamund Pike, Daniel Henney, Josha Stradowski, Madeleine Madden",86,Critics Consensus: The Wheel of Time keeps spinning on a steady track in a rousing second season that deepens its characters.
83,Dead Ringers: Limited Series,(2023),"Starring: Rachel Weisz, Emily Meade, Stephen Cofield Jr.",85,"Critics Consensus: If Dead Ringers doesn't wield as cutting a blade as David Cronenberg's original chiller, it's not a pale imitation either, thanks to Rachel Weisz putting on a clinic in doppelgänger duplicity."
84,One Piece: Season 1,(2023),"Starring: Iñaki Godoy, Mackenyu, Emily Rudd, Jacob Romero Gibson",85,Critics Consensus: One Piece captures the essence of its beloved source material with a charmingly big-hearted adaptation that should entertain longtime fans as well as patient newcomers.
85,The Mandalorian: Season 3,(2023),"Starring: Pedro Pascal, Katee Sackhoff, Carl Weathers, Omid Abtahi",85,"Critics Consensus: Mileage may vary by a couple parsecs as The Mandalorian becomes more and more about the connective tissue of broader Star Wars lore, but this remains one of the most engaging adventures in a galaxy far, far away."
86,The Other Black Girl: Season 1,(2023),"Starring: Sinclair Daniel, Ashleigh Murray, Brittany Adebumola, Hunter Parrish",85,"Critics Consensus: A clever spin on the pressures of office culture, The Other Black Girl blends comedy and horror to thrilling effect."
87,Tiny Beautiful Things: Limited Series,(2023),"Starring: Kathryn Hahn, Sarah Pidgeon, Quentin Plair, Tanzyn Crawford",85,"Critics Consensus: Tiny Beautiful Things is littered with cumbersome narrative choices, but Kathryn Hahn's soulful performance is one big plus that keeps this adaptation firmly compelling."
88,The Company You Keep: Season 1,(2023),"Starring: Milo Ventimiglia, Catherine Haena Kim, William Fichtner, Tim Chiou",85,"Critics Consensus: The Company You Keep gets off to a rocky start in the first few episodes, but the show's appealing cast and entertaining blend of crime and romance will pay off for patient viewers."
89,Survival of the Thickest: Season 1,(2023),"Starring: Michelle Buteau, Tone Bell",85,"Critics Consensus: A genial showcase for Michelle Buteau, Survival of the Thickest is equal parts amusing and heartwarming."
90,Monarch: Legacy of Monsters: Season 1,(2023),"Starring: Kurt Russell, Wyatt Russell, Anna Sawai, Kiersey Clemons",89,"Critics Consensus: With performances by father-son duo Kurt and Wyatt Russell that work a charm, Monarch adds a welcome wrinkle to the Godzilla legacy by honing its monstrous scope to a very human level."
91,Lessons in Chemistry: Season 1,(2023),"Starring: Brie Larson, Lewis Pullman, Aja Naomi King, Stephanie Koenig",86,"Critics Consensus: Touching on several hot button issues while benefitting immensely from a perfect pinch of Brie Larson, Lessons in Chemistry's ambitious ingredients add up to satisfying entertainment."
92,Perry Mason: Season 2,(2023),"Starring: Matthew Rhys, Juliet Rylance, Chris Chalk, Shea Whigham",84,"Critics Consensus: More cohesive and engaging than its woolly first installment, Perry Mason's sophomore season is a marked improvement driven by an urgent sense of purpose, with Matthew Rhys commandingly watchable as ever."
93,The Diplomat: Season 1,(2023),"Starring: Keri Russell, Rufus Sewell, David Gyasi, Ali Ahn",83,"Critics Consensus: Keri Russell's scrappy performance negotiates the best possible terms for The Diplomat, a soapy take on statecraft that manages to make geopolitical crises highly bingeable entertainment."
94,Ted Lasso: Season 3,(2023),"Starring: Jason Sudeikis, Hannah Waddingham, Juno Temple, Jeremy Swift",81,"Critics Consensus: Ted Lasso's third and possibly final season takes time to find its footing, but patient viewers who believe will find that they appreciate Coach as much as ever."
95,Loki: Season 2,(2023),"Starring: Tom Hiddleston, Sophia Di Martino, Owen Wilson, Gugu Mbatha-Raw",82,"Critics Consensus: Loki's dizzying, dazzling second season may rely on sleight of hand to distract from its slightly less satisfying storyline, but the end result still contains enough of that old Marvel magic to entertain."
96,The Lost Flowers of Alice Hart: Season 1,(2023),"Starring: Sigourney Weaver, Alycia Debnam-Carey, Asher Keddie, Leah Purcell",82,"Critics Consensus: Sigourney Weaver is excellent as a thorny matriarch in The Lost Flowers of Alice Hart, a visually appealing and well-acted melodrama."
97,Jury Duty: Season 1,(2023),"Starring: James Marsden, Ronald Gladden, Alan Barinholtz, Susan Berger",83,Critics Consensus: While this courtroom comedy isn't as tedious as actual jury duty -- largely thanks to a very game James Marsden -- the verdict is still out on whether its stylistic gambit pays off.
98,Winning Time: The Rise of the Lakers Dynasty: Season 2,(2023),"Starring: John C. Reilly, Quincy Isaiah, Jason Clarke, Gaby Hoffmann",82,"Critics Consensus: Trying to defend the title is hard, but Winning Time's sophomore season keeps pace as some of the best courtside seats to sports history that television can provide."
99,Strange Planet: Season 1,(2023),"Starring: Tunde Adebimpe, Demi Adejuyigbe, Lori Tan Chinn, Danny Pudi",82,"Critics Consensus: Leveraging its alien conceit to make astute observations about society, Strange Planet is wryly amusing and relatably human."
100,"XO, Kitty: Season 1",(2023),"Starring: Anna Cathcart, Choi Min-yeong, Anthony Keyvan, Sang Heon Lee",81,"Critics Consensus: A modest and sweet extension of all the films that fans have loved before, XO, Kitty aims straight for the heart and finds its mark."
101,Bodies: Limited Series,(2023),"Starring: Jacob Fortune-Lloyd, Shira Haas, Amaka Okafor, Kyle Soller",81,"Critics Consensus: Anchored by the indispensable Stephen Graham, Bodies' multiple twisting time strands coalesce into one satisfying binge."
102,Break Point: Season 1,(2023),"Starring: Felix Auger-Aliassime, Paula Badosa, Taylor Fritz, Ons Jabeur",81,"Critics Consensus: Serving up a fresh look at the next generation of tennis stars, Break Point is strictly for established fans of tennis but full of well-aimed volleys into insight."
103,The Super Models: Season 1,(2023),"Starring: Naomi Campbell, Cindy Crawford, Linda Evangelista, Christy Turlington",83,"Critics Consensus: Glossy as a magazine cover, The Super Models largely sidesteps the thornier aspects of the fashion world but centers some of its most iconic stars on their own terms."
104,Full Circle: Limited Series,(2023),"Starring: Zazie Beetz, Claire Danes, Jim Gaffigan, Jharrel Jerome",78,"Critics Consensus: Full Circle's windy plotting may prove too labyrinthine for casual enjoyment, but Steven Soderbergh's assured direction and a stacked cast give this simmering noir plenty of intrigue."
105,The Horror of Dolores Roach: Season 1,(2023),"Starring: Justina Machado, Alejandro Hernández, K. Todd Freeman, Kita Updike",80,"Critics Consensus: The Horror of Dolores Roach bites off more than it could chew with the delicate balance between horror and humor, but Justina Machado's commitment to the zany premise makes for a savory snack of a series."
106,Shadow and Bone: Season 2,(2023),"Starring: Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter",80,"Critics Consensus: Shadow and Bone's sophomore season packs in too much story sinew to properly breathe, but this adventure remains great fun for fantasy fans."
107,Culprits: Season 1,(2023),"Starring: Nathan Stewart-Jarrett, Gemma Arterton, Suzy Eddie Izzard, Kirby",83,"Critics Consensus: Culprits is a stylish caper packed with enough twists to solve a Rubik's Cube, making for a bloody entertaining binge."
108,The Witcher: Season 3,(2023),"Starring: Henry Cavill, Freya Allan, Joey Batey, MyAnna Buring",79,"Critics Consensus: Capably shouldered by Henry Cavill's gruff charm, The Witcher's plotty third season pays a fittingly fond farewell to this particular Geralt of Rivia."
109,The Consultant: Season 1,(2023),"Starring: Christoph Waltz, Nat Wolff, Brittany O'Grady, Aimee Carrero",79,"Critics Consensus: With Christoph Waltz's menacing charm on retainer, The Consultant compensates for its lack of depth with slick presentation and diverting twists."
110,Lawmen: Bass Reeves: Season 1,(2023),"Starring: David Oyelowo, Lauren E. Banks, Demi Singleton, Forrest Goodluck",81,"Critics Consensus: With David Oyelowo capably stepping into the stirrups of Bass Reeves, this gritty procedural is slow to the draw but hits its mark nonetheless."
